household_id,parcel_id,occupant_name,household_size,is_synthetic
SYN-HH-0069,P0058,Karim Molla,5,True
SYN-HH-0070,P0059,Karim Hossain,3,True
SYN-HH-0071,P0060,Rahim Begum,4,True
SYN-HH-0072,P0060,Salma Islam,5,True
SYN-HH-0073,P0061,Rina Begum,2,True
SYN-HH-0074,P0062,Shirin Begum,3,True
SYN-HH-0075,P0063,Sultan Khan,5,True
SYN-HH-0076,P0064,Belal Islam,5,True
SYN-HH-0077,P0065,Fatema Mia,2,True
SYN-HH-0078,P0066,Belal Talukder,4,True
SYN-HH-0079,P0066,Shirin Mia,1,True
SYN-HH-0080,P0067,Rekha Molla,4,True
SYN-HH-0081,P0068,Belal Khan,2,True
SYN-HH-0082,P0069,Shafiq Talukder,6,True
SYN-HH-0083,P0070,Fatema Khan,3,True
SYN-HH-0084,P0071,Shafiq Akter,6,True
SYN-HH-0085,P0072,Fatema Mia,3,True
SYN-HH-0086,P0073,Habib Mia,7,True
SYN-HH-0087,P0074,Amina Islam,4,True
SYN-HH-0088,P0075,Hasan Begum,5,True
SYN-HH-0089,P0076,Rina Begum,2,True
SYN-HH-0090,P0077,Rina Hossain,6,True
SYN-HH-0091,P0078,Shirin Islam,1,True
SYN-HH-0092,P0078,Kamal Khan,7,True
SYN-HH-0093,P0079,Jasim Mia,1,True
SYN-HH-0094,P0080,Shafiq Islam,3,True
SYN-HH-0095,P0081,Rekha Chowdhury,7,True
SYN-HH-0096,P0081,Hasan Sheikh,7,True
SYN-HH-0097,P0082,Fatema Molla,4,True
SYN-HH-0098,P0083,Fatema Khan,7,True
SYN-HH-0099,P0083,Salma Begum,4,True
SYN-HH-0100,P0084,Rahim Sheikh,4,True
SYN-HH-0101,P0085,Ruma Begum,7,True
SYN-HH-0102,P0085,Karim Hossain,6,True
SYN-HH-0103,P0086,Jasim Chowdhury,1,True
SYN-HH-0104,P0086,Shafiq Talukder,3,True
SYN-HH-0105,P0087,Shirin Islam,5,True
SYN-HH-0106,P0088,Nurjahan Chowdhury,1,True
SYN-HH-0107,P0089,Anwar Islam,2,True
SYN-HH-0108,P0089,Rahim Khan,7,True
SYN-HH-0109,P0090,Jasim Mia,1,True
SYN-HH-0110,P0091,Habib Chowdhury,2,True
SYN-HH-0111,P0092,Salma Islam,5,True
SYN-HH-0112,P0092,Anwar Chowdhury,1,True
SYN-HH-0113,P0093,Fatema Islam,7,True
SYN-HH-0114,P0094,Shirin Islam,7,True
SYN-HH-0115,P0095,Shafiq Talukder,2,True
SYN-HH-0116,P0096,Rahim Begum,2,True
SYN-HH-0117,P0096,Fatema Begum,1,True
SYN-HH-0118,P0097,Rina Khan,1,True
SYN-HH-0119,P0098,Fatema Akter,7,True
SYN-HH-0120,P0099,Rina Hossain,5,True
SYN-HH-0121,P0100,Salma Chowdhury,6,True
SYN-HH-0122,P0101,Anwar Mia,6,True
SYN-HH-0123,P0102,Habib Begum,4,True
SYN-HH-0124,P0103,Amina Akter,7,True
SYN-HH-0125,P0104,Nurjahan Khan,3,True
SYN-HH-0126,P0105,Amina Talukder,4,True
SYN-HH-0127,P0106,Rina Islam,7,True
SYN-HH-0128,P0107,Fatema Khan,7,True
SYN-HH-0129,P0108,Rekha Mia,5,True
SYN-HH-0130,P0109,Amina Molla,6,True
SYN-HH-0131,P0110,Anwar Begum,6,True
SYN-HH-0132,P0111,Rahim Khan,2,True
SYN-HH-0133,P0112,Salma Khan,6,True
SYN-HH-0134,P0113,Belal Talukder,5,True
SYN-HH-0135,P0113,Shirin Chowdhury,1,True
SYN-HH-0136,P0114,Rina Begum,3,True
SYN-HH-0137,P0115,Habib Sheikh,6,True
SYN-HH-0138,P0116,Rekha Sheikh,3,True
SYN-HH-0139,P0117,Shafiq Hossain,5,True
SYN-HH-0140,P0118,Parvin Hossain,5,True
SYN-HH-0141,P0118,Fatema Talukder,1,True
SYN-HH-0142,P0119,Sultan Talukder,1,True
SYN-HH-0143,P0120,Rina Khan,7,True
SYN-HH-0144,P0121,Fatema Talukder,4,True
SYN-HH-0145,P0122,Fatema Sheikh,7,True
SYN-HH-0146,P0123,Anwar Chowdhury,6,True
SYN-HH-0147,P0124,Ruma Begum,7,True
SYN-HH-0148,P0125,Karim Talukder,5,True
SYN-HH-0149,P0126,Amina Begum,6,True
SYN-HH-0150,P0127,Hasan Islam,7,True
SYN-HH-0151,P0128,Sultan Khan,5,True
SYN-HH-0152,P0129,Salma Sheikh,5,True
SYN-HH-0153,P0130,Salma Talukder,1,True
SYN-HH-0154,P0131,Rahim Hossain,1,True
SYN-HH-0155,P0132,Salma Begum,6,True
SYN-HH-0156,P0133,Karim Talukder,5,True
SYN-HH-0157,P0134,Rina Chowdhury,3,True
SYN-HH-0158,P0135,Hasan Khan,4,True
SYN-HH-0159,P0135,Anwar Chowdhury,6,True
SYN-HH-0160,P0136,Parvin Akter,1,True
SYN-HH-0161,P0137,Salma Chowdhury,2,True
SYN-HH-0162,P0138,Jasim Molla,4,True
SYN-HH-0163,P0139,Belal Sheikh,1,True
SYN-HH-0164,P0139,Rahim Islam,7,True
SYN-HH-0165,P0140,Shafiq Chowdhury,1,True
SYN-HH-0166,P0141,Karim Chowdhury,1,True
SYN-HH-0167,P0142,Karim Talukder,7,True
SYN-HH-0168,P0143,Rina Mia,6,True
SYN-HH-0169,P0144,Habib Khan,2,True
SYN-HH-0170,P0144,Ruma Islam,6,True
SYN-HH-0171,P0145,Momtaz Hossain,5,True
SYN-HH-0172,P0146,Kamal Molla,6,True
SYN-HH-0173,P0147,Amina Chowdhury,4,True
SYN-HH-0174,P0147,Hasan Akter,7,True
SYN-HH-0175,P0148,Habib Talukder,6,True
SYN-HH-0176,P0148,Nurjahan Molla,5,True
SYN-HH-0177,P0149,Jasim Sheikh,1,True
SYN-HH-0178,P0150,Amina Talukder,4,True
SYN-HH-0179,P0151,Belal Molla,2,True
SYN-HH-0180,P0152,Nurjahan Akter,3,True
SYN-HH-0181,P0153,Anwar Islam,4,True
SYN-HH-0182,P0154,Salma Molla,2,True
SYN-HH-0183,P0155,Fatema Hossain,7,True
SYN-HH-0184,P0156,Sultan Chowdhury,4,True
SYN-HH-0185,P0156,Shirin Islam,4,True
SYN-HH-0186,P0157,Shafiq Khan,6,True
SYN-HH-0187,P0158,Rina Sheikh,6,True
SYN-HH-0188,P0159,Momtaz Akter,6,True
SYN-HH-0189,P0160,Kamal Mia,3,True
SYN-HH-0190,P0161,Salma Hossain,1,True
SYN-HH-0191,P0162,Jasim Akter,5,True
SYN-HH-0192,P0163,Shafiq Chowdhury,7,True
SYN-HH-0193,P0164,Amina Khan,5,True
SYN-HH-0194,P0165,Kamal Mia,5,True
SYN-HH-0195,P0166,Anwar Akter,1,True
SYN-HH-0196,P0167,Shafiq Khan,6,True
SYN-HH-0197,P0168,Amina Khan,7,True
SYN-HH-0198,P0169,Salma Chowdhury,3,True
SYN-HH-0199,P0170,Momtaz Talukder,6,True
SYN-HH-0200,P0171,Ruma Hossain,7,True
SYN-HH-0201,P0172,Sultan Mia,2,True
SYN-HH-0202,P0173,Anwar Akter,1,True
SYN-HH-0203,P0174,Karim Akter,5,True
SYN-HH-0204,P0175,Salma Begum,1,True
SYN-HH-0205,P0176,Momtaz Mia,5,True
SYN-HH-0206,P0177,Rekha Talukder,5,True
SYN-HH-0207,P0178,Shafiq Hossain,6,True
SYN-HH-0208,P0179,Sultan Hossain,4,True
SYN-HH-0209,P0180,Rekha Sheikh,5,True
SYN-HH-0210,P0181,Amina Khan,6,True
SYN-HH-0211,P0182,Amina Hossain,1,True
SYN-HH-0212,P0183,Anwar Mia,4,True
SYN-HH-0213,P0184,Rina Hossain,3,True
SYN-HH-0214,P0185,Sultan Hossain,2,True
SYN-HH-0215,P0186,Rina Hossain,3,True
SYN-HH-0216,P0187,Anwar Chowdhury,6,True
SYN-HH-0217,P0188,Shirin Molla,2,True
SYN-HH-0218,P0189,Shirin Islam,4,True
SYN-HH-0219,P0190,Hasan Islam,2,True
SYN-HH-0220,P0191,Amina Mia,7,True
SYN-HH-0221,P0191,Momtaz Talukder,6,True
SYN-HH-0222,P0192,Nurjahan Begum,6,True
SYN-HH-0223,P0193,Salma Akter,7,True
SYN-HH-0224,P0194,Sultan Islam,6,True
SYN-HH-0225,P0195,Kamal Talukder,1,True
SYN-HH-0226,P0196,Nurjahan Molla,7,True
SYN-HH-0227,P0197,Rahim Hossain,6,True
SYN-HH-0228,P0198,Ruma Talukder,1,True
SYN-HH-0229,P0199,Fatema Chowdhury,7,True
SYN-HH-0230,P0200,Kamal Begum,1,True
SYN-HH-0231,P0201,Rekha Akter,1,True
SYN-HH-0232,P0202,Rina Akter,1,True
SYN-HH-0233,P0203,Karim Talukder,6,True
SYN-HH-0234,P0204,Habib Talukder,3,True
SYN-HH-0235,P0205,Ruma Talukder,3,True
SYN-HH-0236,P0206,Belal Mia,3,True
SYN-HH-0237,P0207,Shafiq Khan,6,True
SYN-HH-0238,P0208,Shirin Akter,1,True
SYN-HH-0239,P0209,Nurjahan Khan,1,True
SYN-HH-0240,P0210,Parvin Molla,2,True
SYN-HH-0241,P0211,Shirin Chowdhury,1,True
SYN-HH-0242,P0212,Amina Molla,7,True
SYN-HH-0243,P0213,Rahim Molla,1,True
SYN-HH-0244,P0214,Rina Molla,1,True
SYN-HH-0245,P0215,Parvin Chowdhury,1,True
SYN-HH-0246,P0215,Jasim Sheikh,4,True
SYN-HH-0247,P0216,Amina Chowdhury,6,True
SYN-HH-0248,P0217,Salma Mia,7,True
SYN-HH-0249,P0217,Fatema Molla,7,True
SYN-HH-0250,P0218,Rahim Mia,1,True
SYN-HH-0251,P0219,Karim Chowdhury,5,True
SYN-HH-0252,P0220,Ruma Chowdhury,7,True
SYN-HH-0253,P0221,Jasim Sheikh,6,True
SYN-HH-0254,P0222,Karim Molla,6,True
SYN-HH-0255,P0223,Sultan Begum,6,True
SYN-HH-0256,P0223,Habib Molla,6,True
SYN-HH-0257,P0224,Belal Mia,4,True
SYN-HH-0258,P0224,Jasim Begum,1,True
SYN-HH-0259,P0225,Shafiq Akter,6,True
SYN-HH-0260,P0225,Shafiq Molla,1,True
SYN-HH-0261,P0226,Belal Begum,6,True
SYN-HH-0262,P0226,Anwar Mia,2,True
SYN-HH-0263,P0227,Rahim Sheikh,1,True
SYN-HH-0264,P0228,Anwar Akter,7,True
SYN-HH-0265,P0229,Anwar Molla,4,True
SYN-HH-0266,P0230,Karim Mia,5,True
SYN-HH-0267,P0231,Rahim Sheikh,7,True
